channel1,channel2
7.05,7.05
9.47,9.47
11.63,11.63
12.5,12.5
11.63,11.63
10.25,10.25
9.64,9.64
10.03,10.03
10.91,10.91
11.29,11.29
10.91,10.91
10.53,10.53
10.16,10.16
9.29,9.29
8.17,8.17
5.81,5.81
3.23,3.23
0.66,0.66
-1.62,-1.62
-3.65,-3.65
-5.15,-5.15
-6.38,-6.38
-7.61,-7.61
-9.32,-9.32
-11.27,-11.27
-13.94,-13.94
-16.34,-16.34
-17.71,-17.71
-17.82,-17.82
-16.92,-16.92
-14.53,-14.53
-12.16,-12.16
-10.31,-10.31
-10.48,-10.48
-12.64,-12.64
-15.78,-15.78
-18.89,-18.89
-20.72,-20.72
-21.78,-21.78
-22.08,-22.08
-21.62,-21.62
-20.66,-20.66
-18.95,-18.95
-17.51,-17.51
-17.58,-17.58
-19.9,-19.9
-22.94,-22.94
-26.45,-26.45
-29.67,-29.67
-32.36,-32.36
-34.02,-34.02
-33.91,-33.91
-31.8,-31.8
-27.7,-27.7
-23.14,-23.14
-19.36,-19.36
-17.37,-17.37
-16.63,-16.63
-16.91,-16.91
-17.93,-17.93
-18.43,-18.43
-17.93,-17.93
-15.43,-15.43
-11.45,-11.45
-7.51,-7.51
-5.6,-5.6
-6.21,-6.21
-7.81,-7.81
-9.65,-9.65
-9.96,-9.96
-8.78,-8.78
-7.6,-7.6
-7.18,-7.18
-8.02,-8.02
-10.09,-10.09
-11.9,-11.9
-12.94,-12.94
-13.21,-13.21
-12.73,-12.73
-10.75,-10.75
-7.55,-7.55
-3.11,-3.11
0.78,0.78
2.38,2.38
0.73,0.73
-3.92,-3.92
-9.52,-9.52
-13.07,-13.07
-13.08,-13.08
-9.84,-9.84
-6.13,-6.13
-3.96,-3.96
-5.05,-5.05
-7.63,-7.63
-10.44,-10.44
-11.71,-11.71
-12.23,-12.23
-12.24,-12.24
-12.25,-12.25
-12.25,-12.25
-12.26,-12.26
-12.01,-12.01
-12.26,-12.26
-13.01,-13.01
-14.5,-14.5
-16.72,-16.72
-18.92,-18.92
-20.6,-20.6
-20.76,-20.76
-19.91,-19.91
-19.07,-19.07
-18.74,-18.74
-18.15,-18.15
-16.57,-16.57
-13.75,-13.75
-10.45,-10.45
-7.68,-7.68
-5.44,-5.44
-4.21,-4.21
-3.75,-3.75
-3.54,-3.54
-3.08,-3.08
-2.37,-2.37
-1.92,-1.92
-1.98,-1.98
-3.03,-3.03
